ticker,name,date,status,score,close,neckline,dist_to_H_pct,vol_ratio,sma20,sma20_slope3,atr14,entry,stop,target1,target2,rr1,extra
072710.KS,농심홀딩스,2025-09-19,breakout,7.0,122500.0,89500.0,36.87,8.86,82430.0,4565.0,9850.0,91553.571,81285.714,117500.0,131500.0,2.53,"{'buffer': 4925.0, 'atr14d': 8214.285714285714, 'entry': 91553.57142857143, 'stop': 81285.71428571429, 'target1': 117500.0, 'target2': 131500.0, 'entry_low': None, 'entry_high': None, 'rr1': 2.5269565217391294}"
089010.KQ,켐트로닉스,2025-09-19,breakout,7.0,31950.0,25200.0,26.79,4.55,23580.0,1050.0,2378.571,25559.821,23760.714,30520.0,33180.0,2.76,"{'buffer': 1189.2857142857142, 'atr14d': 1439.2857142857142, 'entry': 25559.821428571428, 'stop': 23760.714285714286, 'target1': 30520.0, 'target2': 33180.0, 'entry_low': None, 'entry_high': None, 'rr1': 2.7570223325062067}"
090710.KQ,휴림로봇,2025-09-19,breakout,7.0,3360.0,1820.0,84.62,3.76,2563.75,153.15,449.286,1871.518,1613.929,2390.0,2675.0,2.01,"{'buffer': 224.64285714285714, 'atr14d': 206.07142857142858, 'entry': 1871.517857142857, 'stop': 1613.9285714285713, 'target1': 2390.0, 'target2': 2675.0, 'entry_low': None, 'entry_high': None, 'rr1': 2.012824956672443}"
282880.KQ,코윈테크,2025-09-19,breakout,7.0,18730.0,13500.0,38.74,5.84,12800.0,347.5,1122.857,13741.25,12535.0,15400.0,16350.0,1.38,"{'buffer': 561.4285714285714, 'atr14d': 965.0, 'entry': 13741.25, 'stop': 12535.0, 'target1': 15400.0, 'target2': 16350.0, 'entry_low': None, 'entry_high': None, 'rr1': 1.3751295336787566}"
271980.KS,제일약품,2025-09-19,breakout,7.0,14580.0,12400.0,17.58,6.25,13758.0,213.5,1440.714,12557.5,11770.0,14680.0,15820.0,2.7,"{'buffer': 720.3571428571429, 'atr14d': 630.0, 'entry': 12557.5, 'stop': 11770.0, 'target1': 14680.0, 'target2': 15820.0, 'entry_low': None, 'entry_high': None, 'rr1': 2.6952380952380954}"
008040.KS,사조동아원,2025-09-19,breakout,7.0,1363.0,1248.0,9.21,4.29,1156.0,31.65,90.0,1263.607,1185.571,1465.0,1573.5,2.58,"{'buffer': 45.0, 'atr14d': 62.42857142857143, 'entry': 1263.607142857143, 'stop': 1185.5714285714287, 'target1': 1465.0, 'target2': 1573.5, 'entry_low': None, 'entry_high': None, 'rr1': 2.580778032036615}"
001080.KS,만호제강,2025-09-19,breakout,7.0,39150.0,30500.0,28.36,4.48,27465.0,1220.0,2966.071,31129.018,27983.929,39550.0,44075.0,2.68,"{'buffer': 1483.0357142857142, 'atr14d': 2516.0714285714284, 'entry': 31129.01785714286, 'stop': 27983.928571428572, 'target1': 39550.0, 'target2': 44075.0, 'entry_low': None, 'entry_high': None, 'rr1': 2.677501774308019}"
445180.KQ,퓨릿,2025-09-19,breakout,7.0,7560.0,6870.0,10.04,4.78,6287.5,214.5,547.857,6946.607,6563.571,8500.0,9315.0,4.06,"{'buffer': 273.92857142857144, 'atr14d': 306.42857142857144, 'entry': 6946.607142857143, 'stop': 6563.571428571428, 'target1': 8500.0, 'target2': 9315.0, 'entry_low': None, 'entry_high': None, 'rr1': 4.055477855477851}"
363260.KQ,모비데이즈,2025-09-19,breakout,7.0,2180.0,1986.0,9.77,3.75,1786.65,25.35,209.143,2010.429,1888.286,2379.0,2575.5,3.02,"{'buffer': 104.57142857142857, 'atr14d': 97.71428571428571, 'entry': 2010.4285714285713, 'stop': 1888.2857142857142, 'target1': 2379.0, 'target2': 2575.5, 'entry_low': None, 'entry_high': None, 'rr1': 3.017543859649124}"
273060.KQ,와이즈버즈,2025-09-19,breakout,7.0,1299.0,1163.0,11.69,6.89,1074.55,20.75,109.071,1179.554,1096.786,1351.0,1445.0,2.07,"{'buffer': 54.535714285714285, 'atr14d': 66.21428571428571, 'entry': 1179.5535714285713, 'stop': 1096.7857142857142, 'target1': 1351.0, 'target2': 1445.0, 'entry_low': None, 'entry_high': None, 'rr1': 2.071413160733551}"
